,title,year,age,run,history,owners_pts,modification,volume,engine_type,transmission,gear,body,color,wheel,exchange,mark,accident,other_history,tech_history,sold,pts_type,price,horse_power
819,Volkswagen Polo 1.6 AT,2011,V,162000,16.0,2,1.6 MPI AT,1.6,Бензин,Автомат,Передний,Седан,Чёрный,Левый,Не интересует,соответствует,0,2,8,3,Другое,640000,105
820,Nissan X-Trail 2.5 CVT,2018,III рестайлинг,106354,10.0,1,2.5 4WD CVT,2.5,Бензин,Вариатор,Полный,Внедорожник,Коричневый,Левый,Возможен,ниже,0,1,9,2,Другое,2160000,171
821,Ford Focus 1.6 MT,2003,I рестайлинг,180000,7.0,2,1.6 MT,1.6,Бензин,Механика,Передний,Седан,Серый,Левый,Не интересует,выше,0,2,5,1,Оригинал,335000,100
822,Mercedes-Benz GLC-класс 2.0 AT,2016,X253,110042,11.267396907216495,2,GLC 300 2.0 4MATIC 9G-Tronic,2.0,Бензин,Автомат,Полный,Внедорожник,Чёрный,Левый,другое,ниже,0,2,5,2,Оригинал,2500000,245
823,Mitsubishi Mirage 1.8 AT,2000,V,250000,3.0,2,1.8 AT,1.8,Бензин,Автомат,Передний,Седан,Красный,Левый,Не интересует,выше,1,2,5,1,Оригинал,205000,115
824,Peugeot 3008 1.5 AT,2020,II,87300,11.267396907216495,1,1.5 HDi AT,1.5,Дизель,Автомат,Передний,Внедорожник,Чёрный,Левый,Не интересует,нет оценки,0,2,5,2,Электронный,2595000,130
825,Hyundai Starex 2.5 AT,2004,I рестайлинг 2,114000,10.0,2,2.5 D AT,2.5,Дизель,Автомат,Задний,Minivan,Серебряный,Левый,другое,выше,1,2,5,2,Оригинал,700000,101
826,Mazda 6 2.0 AT,2004,GG,256000,6.0,4+,2.0 AT,2.0,Бензин,Автомат,Передний,Седан,Чёрный,Левый,Не интересует,соответствует,1,5,1,1,Дубликат,395000,141
827,Mercedes-Benz C-класс 1.8 AT,2007,W204/S204,245000,12.0,4+,C 200 1.8 5G-Tronic,1.8,Бензин,Автомат,Задний,Седан,Серый,Левый,Не интересует,выше,1,8,2,5,Оригинал,1050000,184
828,Hyundai Solaris 1.6 AT,2016,I рестайлинг,392000,14.0,3,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Белый,Левый,Не интересует,соответствует,0,3,5,1,Оригинал,710000,123
829,Hyundai Solaris 1.6 AT,2021,II рестайлинг,51500,5.0,1,1.6 AT,1.6,Бензин,Автомат,Передний,Седан,Серый,Левый,другое,соответствует,1,1,5,1,Другое,1690000,123
